Account_Age,Gender,User_Age,Link_Desc,Status_Count,Friend_Count,Location,internet,gettask,changewifis,Status
12,male,34,yes,24,588,Active,Wifi,Active,yes,0
12,male,24,yes,656,693,Active,Mobile,Inactive,no,0
12,male,59,yes,1234,104,Active,Wifi,Active,no,0
12,female,58,yes,573,227,Active,Mobile,Inactive,no,0
12,female,59,yes,675,519,Active,Wifi,Inactive,no,0
12,female,44,yes,1333,1998,Active,Mobile,Active,no,0
12,female,28,yes,99,1548,Active,Wifi,Active,no,0
12,female,58,yes,553,1930,Active,Wifi,Active,no,0
12,female,30,yes,1576,501,Active,Wifi,Active,yes,0
12,female,26,yes,1378,1998,Active,Wifi,Active,yes,0
12,female,41,yes,1444,390,Active,Wifi,Active,no,0
12,female,58,yes,1351,328,Active,Wifi,Active,no,0
12,female,56,yes,43,641,Active,Wifi,Inactive,no,0
12,male,26,yes,50,641,Active,Wifi,Inactive,no,0
12,female,30,yes,50,641,Active,Mobile,Inactive,no,0
12,female,37,yes,50,641,Active,Mobile,Inactive,no,0
12,male,30,yes,50,641,Active,Mobile,Inactive,no,0
12,male,38,yes,50,641,Active,Mobile,Inactive,no,0
12,male,34,yes,24,588,Active,Wifi,Active,yes,0
12,male,24,yes,656,693,Active,Mobile,Inactive,no,0
12,male,59,yes,1234,104,Active,Wifi,Active,no,0
12,female,58,yes,573,227,Active,Mobile,Inactive,no,0
12,female,59,yes,675,519,Active,Wifi,Inactive,no,0
12,female,44,yes,1333,1998,Active,Mobile,Active,no,0
12,female,28,yes,99,1548,Active,Wifi,Active,no,0
12,female,58,yes,553,1930,Active,Wifi,Active,no,0
12,female,30,yes,1576,501,Active,Wifi,Active,yes,0
12,female,26,yes,1378,1998,Active,Wifi,Active,yes,0
12,female,41,yes,1444,390,Active,Wifi,Active,no,0
12,female,58,yes,1351,328,Active,Wifi,Active,no,0
12,female,56,yes,43,641,Active,Wifi,Inactive,no,0
12,male,26,yes,50,641,Active,Wifi,Inactive,no,0
12,female,30,yes,50,641,Active,Mobile,Inactive,no,0
12,female,37,yes,50,641,Active,Mobile,Inactive,no,0
12,male,30,yes,50,641,Active,Mobile,Inactive,no,0
12,male,38,yes,50,641,Active,Mobile,Inactive,no,0
13,female,78,no,50,688,Inactive,Wifi,Active,yes,1
13,male,45,no,50,234,Inactive,Mobile,Active,yes,1
13,female,47,no,50,567,Inactive,Wifi,Active,yes,1
13,female,23,no,24,890,Inactive,Mobile,Inactive,yes,1
13,female,44,no,656,245,Inactive,Wifi,Inactive,yes,1
13,female,67,no,1234,123,Inactive,Mobile,Active,yes,1
13,female,23,no,573,78,Inactive,Mobile,Inactive,yes,1
13,female,19,no,675,90,Inactive,Mobile,Active,yes,1
13,female,20,no,1333,566,Inactive,Mobile,Inactive,yes,1
13,male,35,no,99,345,Inactive,Mobile,Inactive,yes,1
13,female,45,no,553,797,Inactive,Mobile,Inactive,yes,1
13,male,56,yes,1576,234,Inactive,Mobile,Inactive,yes,1
12,female,30,yes,1576,501,Active,Wifi,Active,yes,0
12,female,26,yes,1378,1998,Active,Wifi,Active,yes,0
12,female,41,yes,1444,390,Active,Wifi,Active,no,0
12,female,58,yes,1351,328,Active,Wifi,Active,no,0
12,female,56,yes,43,641,Active,Wifi,Inactive,no,0
12,male,26,yes,50,641,Active,Wifi,Inactive,no,0
12,female,30,yes,50,641,Active,Mobile,Inactive,no,0
12,female,37,yes,50,641,Active,Mobile,Inactive,no,0
12,male,30,yes,50,641,Active,Mobile,Inactive,no,0
12,male,38,yes,50,641,Active,Mobile,Inactive,no,0
12,male,34,yes,24,588,Active,Wifi,Active,yes,0
12,male,24,yes,656,693,Active,Mobile,Inactive,no,0
12,male,59,yes,1234,104,Active,Wifi,Active,no,0
12,female,58,yes,573,227,Active,Mobile,Inactive,no,0
12,female,59,yes,675,519,Active,Wifi,Inactive,no,0
12,female,44,yes,1333,1998,Active,Mobile,Active,no,0
12,female,28,yes,99,1548,Active,Wifi,Active,no,0
12,female,58,yes,553,1930,Active,Wifi,Active,no,0
12,female,30,yes,1576,501,Active,Wifi,Active,yes,0
12,female,26,yes,1378,1998,Active,Wifi,Active,yes,0
12,female,41,yes,1444,390,Active,Wifi,Active,no,0
12,female,58,yes,1351,328,Active,Wifi,Active,no,0
12,female,56,yes,43,641,Active,Wifi,Inactive,no,0
12,male,26,yes,50,641,Active,Wifi,Inactive,no,0
12,female,30,yes,50,641,Active,Mobile,Inactive,no,0
12,female,37,yes,50,641,Active,Mobile,Inactive,no,0
12,male,30,yes,50,641,Active,Mobile,Inactive,no,0
12,male,38,yes,50,641,Active,Mobile,Inactive,no,0
13,female,78,no,50,688,Inactive,Wifi,Active,yes,1
13,male,45,no,50,234,Inactive,Mobile,Active,yes,1
13,female,47,no,50,567,Inactive,Wifi,Active,yes,1
13,female,23,no,24,890,Inactive,Mobile,Inactive,yes,1
13,female,44,no,656,245,Inactive,Wifi,Inactive,yes,1
13,female,67,no,1234,123,Inactive,Mobile,Active,yes,1
13,female,23,no,573,78,Inactive,Mobile,Inactive,yes,1
13,female,19,no,675,90,Inactive,Mobile,Active,yes,1
13,female,20,no,1333,566,Inactive,Mobile,Inactive,yes,1
13,male,35,no,99,345,Inactive,Mobile,Inactive,yes,1
13,female,45,no,553,797,Inactive,Mobile,Inactive,yes,1
13,male,56,yes,1576,234,Inactive,Mobile,Inactive,yes,1
12,female,30,yes,1576,501,Active,Wifi,Active,yes,0
12,female,26,yes,1378,1998,Active,Wifi,Active,yes,0
12,female,41,yes,1444,390,Active,Wifi,Active,no,0
12,female,58,yes,1351,328,Active,Wifi,Active,no,0
12,female,56,yes,43,641,Active,Wifi,Inactive,no,0
12,male,26,yes,50,641,Active,Wifi,Inactive,no,0
12,female,30,yes,50,641,Active,Mobile,Inactive,no,0
12,female,37,yes,50,641,Active,Mobile,Inactive,no,0
12,male,30,yes,50,641,Active,Mobile,Inactive,no,0
12,male,38,yes,50,641,Active,Mobile,Inactive,no,0
12,male,34,yes,24,588,Active,Wifi,Active,yes,0
12,male,24,yes,656,693,Active,Mobile,Inactive,no,0
12,male,59,yes,1234,104,Active,Wifi,Active,no,0
12,female,58,yes,573,227,Active,Mobile,Inactive,no,0
12,female,59,yes,675,519,Active,Wifi,Inactive,no,0
12,female,44,yes,1333,1998,Active,Mobile,Active,no,0
12,female,28,yes,99,1548,Active,Wifi,Active,no,0
12,female,58,yes,553,1930,Active,Wifi,Active,no,0
12,female,30,yes,1576,501,Active,Wifi,Active,yes,0
12,female,26,yes,1378,1998,Active,Wifi,Active,yes,0
12,female,41,yes,1444,390,Active,Wifi,Active,no,0
12,female,58,yes,1351,328,Active,Wifi,Active,no,0
12,female,56,yes,43,641,Active,Wifi,Inactive,no,0
12,male,26,yes,50,641,Active,Wifi,Inactive,no,0
12,female,30,yes,50,641,Active,Mobile,Inactive,no,0
12,female,37,yes,50,641,Active,Mobile,Inactive,no,0
12,male,30,yes,50,641,Active,Mobile,Inactive,no,0
12,male,38,yes,50,641,Active,Mobile,Inactive,no,0
13,female,78,no,50,688,Inactive,Wifi,Active,yes,1
13,male,45,no,50,234,Inactive,Mobile,Active,yes,1
13,female,47,no,50,567,Inactive,Wifi,Active,yes,1
13,female,23,no,24,890,Inactive,Mobile,Inactive,yes,1
13,female,44,no,656,245,Inactive,Wifi,Inactive,yes,1
13,female,67,no,1234,123,Inactive,Mobile,Active,yes,1
13,female,23,no,573,78,Inactive,Mobile,Inactive,yes,1
13,female,19,no,675,90,Inactive,Mobile,Active,yes,1
13,female,20,no,1333,566,Inactive,Mobile,Inactive,yes,1
13,male,35,no,99,345,Inactive,Mobile,Inactive,yes,1
13,female,45,no,553,797,Inactive,Mobile,Inactive,yes,1
13,male,56,yes,1576,234,Inactive,Mobile,Inactive,yes,1
14,male,34,yes,24,588,Active,Wifi,Active,yes,0
14,male,24,yes,656,693,Active,Mobile,Inactive,no,0
14,male,59,yes,1234,104,Active,Wifi,Active,no,0
14,female,58,yes,573,227,Active,Mobile,Inactive,no,0
14,female,59,yes,675,519,Active,Wifi,Inactive,no,0
14,female,44,yes,1333,1998,Active,Mobile,Active,no,0
14,female,28,yes,99,1548,Active,Wifi,Active,no,0
14,female,58,yes,553,1930,Active,Wifi,Active,no,0
14,female,30,yes,1576,501,Active,Wifi,Active,yes,0
14,female,26,yes,1378,1998,Active,Wifi,Active,yes,0
14,female,41,yes,1444,390,Active,Wifi,Active,no,0
14,female,58,yes,1351,328,Active,Wifi,Active,no,0
14,female,56,yes,43,641,Active,Wifi,Inactive,no,0
14,male,26,yes,50,641,Active,Wifi,Inactive,no,0
14,female,30,yes,50,641,Active,Mobile,Inactive,no,0
14,female,37,yes,50,641,Active,Mobile,Inactive,no,0
14,male,30,yes,50,641,Active,Mobile,Inactive,no,0
14,male,38,yes,50,641,Active,Mobile,Inactive,no,0
14,male,34,yes,24,588,Active,Wifi,Active,yes,0
14,male,24,yes,656,693,Active,Mobile,Inactive,no,0
15,male,59,yes,1234,104,Active,Wifi,Active,no,0
15,female,58,yes,573,227,Active,Mobile,Inactive,no,0
15,female,59,yes,675,519,Active,Wifi,Inactive,no,0
15,female,44,yes,1333,1998,Active,Mobile,Active,no,0
15,female,28,yes,99,1548,Active,Wifi,Active,no,0
15,female,58,yes,553,1930,Active,Wifi,Active,no,0
15,female,30,yes,1576,501,Active,Wifi,Active,yes,0
15,female,26,yes,1378,1998,Active,Wifi,Active,yes,0
15,female,41,yes,1444,390,Active,Wifi,Active,no,0
15,female,58,yes,1351,328,Active,Wifi,Active,no,0
